Phrase	SoundsLike	IPA	DisplayAs
タイオン			体温
シンパクスウ			心拍数
コキュウスウ			呼吸数
ショクヨク			食欲
ゲンキショウシツ			元気消失
ダッスイ			脱水
ネンマク			粘膜
チアノーゼ			チアノーゼ
ニュウボウエン			乳房炎
ブンボウ			分房
ミギマエブンボウ			右前分房
ミギウシロブンボウ			右後分房
ヒダリマエブンボウ			左前分房
ヒダリウシロブンボウ			左後分房
シュチョウ			腫脹
ネッカン			熱感
コウケツ			硬結
ニュウジュウ			乳汁
ギョウコブツ			凝固物
スイヨウ			水様
ケツヨウ			血様
ハンスウ			反芻
ルーメン			ルーメン
ダイイチイ			第一胃
ダイニイ			第二胃
ダイサンイ			第三胃
ダイヨンイヘンイ			第四胃変位
コチョウ			鼓脹
ラッセルオン			ラッセル音
ゼンドウオン			蠕動音
ジョウミャクチュウシャ			静脈注射
ジョウチュウ			静注
ヒカチュウシャ			皮下注射
キンニクチュウシャ			筋肉注射
ニュウボウチュウニュウ			乳房注入
ユエキ			輸液
テンテキ			点滴
アンピシリン			アンピシリン
アンピ			アンピシリン
安否			アンピシリン
フルニキシン			フルニキシン
セフトリアキソン			セフトリアキソン
オキシトシン			オキシトシン
エヌエスエーアイディーズ			NSAIDs
ブンベン			分娩
サンジョク			産褥
タイバンテイタイ			胎盤停滞
シキュウナイマクエン			子宮内膜炎
ナンザン			難産
キリツコンナン			起立困難
ビョウショウジコ			病傷事故
シンダンショ			診断書
ヨゴフリョウ			予後不良
チリョウケイゾク			治療継続
ハイヨウ			廃用
トウタ			淘汰
シキュウ			子宮
